test_id,method,v6_weight,n_added,members_added,weights_added,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_overnight_best,grid
B_n5_v6=0.60,blend_rank_global_z,0.6,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0800,0.0800,0.0800,0.0800,0.0800",0.4,0.4100461035821228,0.2413127413127413,0.6250893750893751,6.148255398255398,0.0010861035821227993,0.00025610358212280193,B_aggressive
B_XEN_skew2.0_v6=0.70,rank_avg,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0500,0.0500,0.1000,0.1000",0.30000000000000004,0.41001983593226815,0.24134849134849135,0.6246961246961247,6.143607893607894,0.0010598359322681605,0.00022983593226816312,B_aggressive_xen_skew
B_CB_skew2.0_v6=0.50,blend_rank_query_z,0.5,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1667,0.1667,0.0833,0.0833",0.5,0.4099573461271828,0.24181324181324182,0.6251251251251251,6.148791648791649,0.0009973461271828299,0.00016734612718283248,B_aggressive_cb_skew
A_n5_v6=0.75,global_z,0.75,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0500,0.0500,0.0500,0.0500,0.0500",0.25,0.4099535194473276,0.240990990990991,0.6257328757328757,6.161768911768911,0.0009935194473276177,0.00016351944732762025,A_conservative
B_XEN_skew1.5_v6=0.70,rank_avg,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0900,0.0900",0.30000000000000004,0.4099450354132324,0.2413127413127413,0.6245531245531245,6.145431145431146,0.0009850354132324157,0.00015503541323241832,B_aggressive_xen_skew
C_xen_skew1.5_v6=0.700,rank_avg,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0900,0.0900",0.30000000000000004,0.4099450354132324,0.2413127413127413,0.6245531245531245,6.145431145431146,0.0009850354132324157,0.00015503541323241832,C_fine_xen_skew
C_cb_skew1.5_v6=0.600,blend_rank_global_z,0.6,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1200,0.1200,0.0800,0.0800",0.4,0.4099414949461553,0.24116974116974116,0.624946374946375,6.1501859001859005,0.0009814949461552924,0.00015149494615529502,C_fine_cb_skew
B_CB_skew1.5_v6=0.60,blend_rank_global_z,0.6,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1200,0.1200,0.0800,0.0800",0.4,0.4099414949461553,0.24116974116974116,0.624946374946375,6.1501859001859005,0.0009814949461552924,0.00015149494615529502,B_aggressive_cb_skew
A_n4_v6=0.75,global_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0625,0.0625,0.0625,0.0625",0.25,0.40992563364574286,0.24077649077649077,0.6258401258401258,6.163770913770914,0.0009656336457428694,0.00013563364574287196,A_conservative
C_equal_v6=0.750,global_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0625,0.0625,0.0625,0.0625",0.25,0.40992563364574286,0.24077649077649077,0.6258401258401258,6.163770913770914,0.0009656336457428694,0.00013563364574287196,C_fine_equal
A_n4_v6=0.65,blend_rank_global_z,0.65,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0875,0.0875,0.0875,0.0875",0.35,0.4099147200615389,0.240990990990991,0.6252323752323752,6.153796653796654,0.0009547200615389051,0.0001247200615389077,A_conservative
